ITEMS,Item No.,Name,Availability,UPC,Map,Case Pack,Buy this Case Quantity,Total No. of Pieces Included,FIRST_PricePerPiece,Price Per Case,Buy this Case Quantity,Total No. of Pieces Included,Price Per Piece,Price Per Case,Buy this Case Quantity,Total No. of Pieces Included,Price Per Piece,Price Per Case,Image,Company,Theme,Product Type,Age From,Age To,Gender
1,AA51721,Demon Slayer Giyu Pop! Vinyl Figure - AAA Anime Exclusive,Temporarily Out Of Stock,889698517218,,6,[1-11],[6-71],$14.50,$87.00,[12-17],[72-107],$13.00,$78.00,18,108,$12.70,$76.20,https://www.eedistribution.com/images/Thumbnails/AA51721lg.jpg,Funko,Demon Slayer,Pop! Vinyl Figures,3,,
2,DC209200,Marvel Heroes Immortal Hulk 6-Inch Pop! Vinyl Figure - PX,Temporarily Out Of Stock,889698556385,,3,[1-11],[3-35],$19.20,$57.60,[12-19],[36-59],$18.90,$56.70,20,60,$18.20,$54.60,https://www.eedistribution.com/images/Thumbnails/DC209200lg.jpg,Funko,Hulk,Pop! Vinyl Figures,3,,
3,DC238508,Avengers 2 Iron Man with Tower GITD Pop! Town #35 - PX,Mar-24,889698745826,,2,[1-11],[2-23],$30.80,$61.60,[12-23],[24-47],$29.00,$58.00,24,48,$27.70,$55.40,https://www.eedistribution.com/images/Thumbnails/DC238508lg.jpg,Funko,Iron Man,Pop! Vinyl Figures,,,
4,DC47096,Avengers: Endgame I Am Iron Man GITD Deluxe Pop! Figure PX,Feb-24,889698470964,,3,[1-17],[3-53],$11.70,$35.10,18,54,$11.30,$33.90,,,,,https://www.eedistribution.com/images/Thumbnails/DC47096lg.jpg,Funko,Iron Man,Pop! Vinyl Figures,3,,Unisex
5,DC62781,Marvel Iron Man Hall of Armor Mdl. 4 Dlx. Pop! Figure - PX,In Stock,889698627818,,3,1,3,$4.50,$13.50,,,,,,,,,https://www.eedistribution.com/images/Thumbnails/DC62781lg.jpg,Funko,Iron Man,Pop! Vinyl Figures,3,,
6,DC63739,Marvel Iron Man Hall of Armor Mdl. 1 Dlx.Pop! Figure - PX,In Stock,889698637398,,3,1,3,$4.50,$13.50,,,,,,,,,https://www.eedistribution.com/images/Thumbnails/DC63739lg.jpg,Funko,Iron Man,Pop! Vinyl Figures,3,,
7,DC64805,Marvel Iron Man Hall of Armor Mdl. 11 Dlx. Pop! Figure - PX,In Stock,889698648059,,3,1,3,$12.99,$38.97,,,,,,,,,https://www.eedistribution.com/images/Thumbnails/DC64805lg.jpg,Funko,Iron Man,Pop! Vinyl Figures,3,,
8,DC66377,Flash Movie Unmasked Batman Pop! Vinyl Figure #1344 - PX,In Stock,889698663779,,3,[1-17],[3-53],$11.50,$34.50,[18-35],[54-107],$11.00,$33.00,36,108,$10.60,$31.80,https://www.eedistribution.com/images/Thumbnails/DC66377lg.jpg,Funko,Flash,Pop! Vinyl Figures,3,,
9,DC73960,Power Rangers 30th Ranger Slayer Pop! Vinyl Figure - PX,In Stock,889698739603,,3,[1-17],[3-53],$12.30,$36.90,[18-35],[54-107],$10.90,$32.70,36,108,$10.40,$31.20,https://www.eedistribution.com/images/Thumbnails/DC73960lg.jpg,Funko,Power Rangers,Pop! Vinyl Figures,3,,
10,FU10215,NFL Andrew Luck Wave 3 Funko Pop! Vinyl Figure #45,Temporarily Out Of Stock,849803102159,,6,[1-5],[6-35],$6.90,$41.40,6,36,$6.50,$39.00,,,,,https://www.eedistribution.com/images/Thumbnails/FU10215lg.jpg,Funko,Football,Pop! Vinyl Figures,3,,Unisex
11,FU11267,Fantastic Beasts Newt Pocket Pop! Key Chain,Temporarily Out Of Stock,889698112673,,12,[1-17],[12-215],$3.54,$42.48,[18-29],[216-359],$3.31,$39.72,30,360,$3.23,$38.76,https://www.eedistribution.com/images/Thumbnails/FU11267lg.jpg,Funko,Harry Potter,Key Chains,3,,Unisex
12,FU12784,Guardians of the Galaxy Vol. 2 Star-Lord Pop! Vinyl Figure,Temporarily Out Of Stock,889698127844,,6,[1-5],[6-35],$6.90,$41.40,6,36,$6.50,$39.00,,,,,https://www.eedistribution.com/images/Thumbnails/FU12784lg.jpg,Funko,Guardians of the Galaxy,Pop! Vinyl Figures,3,,Unisex
13,FU14746,Star Wars: The Last Jedi BB-8 Pop! Vinyl Bobblehead #196,Feb-24,889698147460,,6,[1-5],[6-35],$6.90,$41.40,6,36,$6.50,$39.00,,,,,https://www.eedistribution.com/images/Thumbnails/FU14746lg.jpg,Funko,Star Wars,Pop! Vinyl Figures,3,,Unisex
14,FU14748,Star Wars: Last Jedi Chewbacca Pop! Vinyl Bobblehead #195,Feb-24,889698147484,,6,[1-5],[6-35],$6.90,$41.40,6,36,$6.50,$39.00,,,,,https://www.eedistribution.com/images/Thumbnails/FU14748lg.jpg,Funko,Star Wars,Pop! Vinyl Figures,3,,Unisex
15,FU20157,NFL Russell Wilson Seahawks Wave 4 Pop! Vinyl Figure #57,Temporarily Out Of Stock,889698201575,,6,[1-5],[6-35],$6.90,$41.40,6,36,$6.50,$39.00,,,,,https://www.eedistribution.com/images/Thumbnails/FU20157lg.jpg,Funko,Football,Pop! Vinyl Figures,3,,Unisex
16,FU2386,Star Wars Boba Fett Funko Pop! Vinyl Bobblehead #08,Feb-24,830395023861,,6,[1-5],[6-35],$6.90,$41.40,6,36,$6.50,$39.00,,,,,https://www.eedistribution.com/images/Thumbnails/FU2386lg.jpg,Funko,Star Wars,Pop! Vinyl Figures,5,,Male
17,FU2387,Star Wars C-3PO Funko Pop! Vinyl Bobblehead #13,Jun-24,830395023878,,6,[1-5],[6-35],$6.90,$41.40,6,36,$6.50,$39.00,,,,,https://www.eedistribution.com/images/Thumbnails/FU2387lg.jpg,Funko,Star Wars,Pop! Vinyl Figures,5,,Male
18,FU2390,Star Wars Darth Maul Funko Pop! Vinyl Bobblehead #09,May-24,830395023908,,6,[1-5],[6-35],$6.90,$41.40,6,36,$6.50,$39.00,,,,,https://www.eedistribution.com/images/Thumbnails/FU2390lg.jpg,Funko,Star Wars,Pop! Vinyl Figures,5,,Male
19,FU26735,Jurassic Park Velociraptor Funko Pop! Vinyl Figure #549,Temporarily Out Of Stock,889698267359,,6,[1-5],[6-35],$6.90,$41.40,6,36,$6.50,$39.00,,,,,https://www.eedistribution.com/images/Thumbnails/FU26735lg.jpg,Funko,Jurassic Park,Pop! Vinyl Figures,3,,Unisex
20,FU31794,Star Wars: The Clone Wars Anakin Pop! Vinyl Figure #271,Feb-24,889698317948,,6,[1-5],[6-35],$6.90,$41.40,6,36,$6.50,$39.00,,,,,https://www.eedistribution.com/images/Thumbnails/FU31794lg.jpg,Funko,Star Wars,Pop! Vinyl Figures,3,,Unisex
21,FU31796,Star Wars: Clone Wars Obi Wan Kenobi Pop! Figure #270,Feb-24,889698317962,,6,[1-5],[6-35],$6.90,$41.40,6,36,$6.50,$39.00,,,,,https://www.eedistribution.com/images/Thumbnails/FU31796lg.jpg,Funko,Star Wars,Pop! Vinyl Figures,3,,Unisex
22,FU31799,Star Wars: The Clone Wars Yoda Funko Pop! Vinyl Figure #269,Feb-24,889698317993,,6,[1-5],[6-35],$6.90,$41.40,6,36,$6.50,$39.00,,,,,https://www.eedistribution.com/images/Thumbnails/FU31799lg.jpg,Funko,Star Wars,Pop! Vinyl Figures,3,,Unisex
23,FU32956,Star Wars: The Clone Wars Ahsoka Pop! Vinyl Figure #268,Feb-24,889698329569,,6,[1-5],[6-35],$6.90,$41.40,6,36,$6.50,$39.00,,,,,https://www.eedistribution.com/images/Thumbnails/FU32956lg.jpg,Funko,Star Wars,Pop! Vinyl Figures,3,,Unisex
24,FU32CC71741W,Star Wars: Obi-Wan Leia Pop! Vinyl Figure - 2023 Exclusive,In Stock,889698717410,$14.99,6,[1-11],[6-71],$9.00,$54.00,12,72,$8.65,$51.90,,,,,https://www.eedistribution.com/images/Thumbnails/FU32CC71741Wlg.jpg,Funko,Star Wars,Pop! Vinyl Figures,,,
25,FU33309,NFL Legends Bart Starr Funko Pop! Vinyl Figure #116,Jun-24,889698333092,,6,[1-5],[6-35],$6.90,$41.40,6,36,$6.50,$39.00,,,,,https://www.eedistribution.com/images/Thumbnails/FU33309lg.jpg,Funko,Football,Pop! Vinyl Figures,3,,Unisex
26,FU33884,Star Wars Holiday Darth Vader Funko Pop! Vinyl Figure #279,Temporarily Out Of Stock,889698338844,,6,[1-5],[6-35],$6.90,$41.40,6,36,$6.50,$39.00,,,,,https://www.eedistribution.com/images/Thumbnails/FU33884lg.jpg,Funko,Star Wars,Pop! Vinyl Figures,3,,Unisex
27,FU33885,Star Wars Holiday Santa Yoda Funko Pop! Vinyl Figure #277,Temporarily Out Of Stock,889698338851,,6,[1-5],[6-35],$6.90,$41.40,6,36,$6.50,$39.00,,,,,https://www.eedistribution.com/images/Thumbnails/FU33885lg.jpg,Funko,Star Wars,Pop! Vinyl Figures,3,,Unisex
28,FU33886,Star Wars Holiday Chewbacca with Lights Pop! Vinyl #278,Temporarily Out Of Stock,889698338868,,6,[1-5],[6-35],$6.90,$41.40,6,36,$6.50,$39.00,,,,,https://www.eedistribution.com/images/Thumbnails/FU33886lg.jpg,Funko,Star Wars,Pop! Vinyl Figures,3,,Unisex
29,FU33891,Star Wars Holiday R2-D2 with Antlers Pop! Vinyl Figure #275,In Stock,889698338912,,6,[1-5],[6-35],$6.90,$41.40,6,36,$6.50,$39.00,,,,,https://www.eedistribution.com/images/Thumbnails/FU33891lg.jpg,Funko,Star Wars,Pop! Vinyl Figures,3,,Unisex
30,FU34391,South Park Timmy Pop! Vinyl Figure and Gobbles Pop! Buddy,Mar-24,889698343916,,6,[1-5],[6-35],$6.90,$41.40,6,36,$6.50,$39.00,,,,,https://www.eedistribution.com/images/Thumbnails/FU34391lg.jpg,Funko,South Park,Pop! Vinyl Figures,,,
31,FU34436,NBA Giannis Antetokounmpo Bucks Funko Pop! Vinyl Figure #45,Temporarily Out Of Stock,889698344364,,6,[1-5],[6-35],$6.90,$41.40,6,36,$6.50,$39.00,,,,,https://www.eedistribution.com/images/Thumbnails/FU34436lg.jpg,Funko,Basketball,Pop! Vinyl Figures,3,,Male
32,FU34445,NBA Joel Embiid 76ers Funko Pop! Vinyl Figure #51,Jun-24,889698344456,,6,[1-5],[6-35],$6.90,$41.40,6,36,$6.50,$39.00,,,,,https://www.eedistribution.com/images/Thumbnails/FU34445lg.jpg,Funko,Basketball,Pop! Vinyl Figures,3,,Male
33,FU34449,NBA Stephen Curry Warriors Funko Pop! Vinyl Figure #43,Jun-24,889698344494,,6,[1-5],[6-35],$6.90,$41.40,6,36,$6.50,$39.00,,,,,https://www.eedistribution.com/images/Thumbnails/FU34449lg.jpg,Funko,Basketball,Pop! Vinyl Figures,3,,Male
34,FU34453,NBA Karl-Anthony Towns Timberwolves Pop! Vinyl Figure #39,Feb-24,889698344531,,6,[1-5],[6-35],$6.90,$41.40,6,36,$6.50,$39.00,,,,,https://www.eedistribution.com/images/Thumbnails/FU34453lg.jpg,Funko,Basketball,Pop! Vinyl Figures,3,,Male
35,FU35510,Harry Potter Hedwig Funko Pop! Vinyl Figure #76,May-24,889698355100,,6,[1-5],[6-35],$6.90,$41.40,6,36,$6.50,$39.00,,,,,https://www.eedistribution.com/images/Thumbnails/FU35510lg.jpg,Funko,Harry Potter,Pop! Vinyl Figures,3,,Unisex
36,FU35519,Star Wars Darth Vader Electronic Funko Pop! Vinyl Figure,Feb-24,889698355193,,6,[1-5],[6-35],$10.30,$61.80,[6-11],[36-71],$9.70,$58.20,12,72,$9.40,$56.40,https://www.eedistribution.com/images/Thumbnails/FU35519lg.jpg,Funko,Star Wars,Pop! Vinyl Figures,3,,Unisex
37,FU36660,Avengers: Endgame Tony Stark Funko Pop! Vinyl Figure #449,Temporarily Out Of Stock,889698366601,,6,[1-5],[6-35],$6.90,$41.40,6,36,$6.50,$39.00,,,,,https://www.eedistribution.com/images/Thumbnails/FU36660lg.jpg,Funko,Avengers,Pop! Vinyl Figures,3,,Unisex
38,FU37525,Star Wars Wicket W. Warrick Funko Pop! Vinyl Figure #290,Feb-24,889698375252,,6,[1-5],[6-35],$6.90,$41.40,6,36,$6.50,$39.00,,,,,https://www.eedistribution.com/images/Thumbnails/FU37525lg.jpg,Funko,Star Wars,Pop! Vinyl Figures,3,,Unisex
39,FU37591,Star Wars Emperor Palpatine Funko Pop! Vinyl Figure #289,Temporarily Out Of Stock,889698375917,,6,[1-5],[6-35],$6.90,$41.40,6,36,$6.50,$39.00,,,,,https://www.eedistribution.com/images/Thumbnails/FU37591lg.jpg,Funko,Star Wars,Pop! Vinyl Figures,3,,Unisex
40,FU39880,Star Wars: Rise of Skywalker Sith Jet Trooper Pop! Vinyl,Jun-24,889698398800,,6,[1-5],[6-35],$6.90,$41.40,6,36,$6.50,$39.00,,,,,https://www.eedistribution.com/images/Thumbnails/FU39880lg.jpg,Funko,Star Wars,Pop! Vinyl Figures,3,,Unisex
41,FU39887,Star Wars: The Rise of Skywalker Kylo Ren Pop! Vinyl Figure,Feb-24,889698398879,,6,[1-5],[6-35],$6.90,$41.40,6,36,$6.50,$39.00,,,,,https://www.eedistribution.com/images/Thumbnails/FU39887lg.jpg,Funko,Star Wars,Pop! Vinyl Figures,3,,Unisex
42,FU39890,Star Wars: Rise of Skywalker Zorii Bliss Pop! Vinyl Figure,Temporarily Out Of Stock,889698398909,,6,[1-5],[6-35],$6.90,$41.40,6,36,$6.50,$39.00,,,,,https://www.eedistribution.com/images/Thumbnails/FU39890lg.jpg,Funko,Star Wars,Pop! Vinyl Figures,3,,Unisex
43,FU42062,Star Wars: The Mandalorian Funko Pop! Vinyl Figure #326,Feb-24,889698420624,,6,[1-5],[6-35],$6.90,$41.40,6,36,$6.50,$39.00,,,,,https://www.eedistribution.com/images/Thumbnails/FU42062lg.jpg,Funko,Star Wars,Pop! Vinyl Figures,3,,Unisex
44,FU42063,Star Wars: The Mandalorian Kuiil Funko Pop! Vinyl Figure,Jun-24,889698420631,,6,[1-5],[6-35],$6.90,$41.40,6,36,$6.50,$39.00,,,,,https://www.eedistribution.com/images/Thumbnails/FU42063lg.jpg,Funko,Star Wars,Pop! Vinyl Figures,3,,Unisex
45,FU42064,Star Wars: The Mandalorian IG-11 Funko Pop! Vinyl Figure,Temporarily Out Of Stock,889698420648,,6,[1-5],[6-35],$6.90,$41.40,6,36,$6.50,$39.00,,,,,https://www.eedistribution.com/images/Thumbnails/FU42064lg.jpg,Funko,Star Wars,Pop! Vinyl Figures,3,,Unisex
46,FU43572,Star Wars Jedi: Fallen Order Cal Kestis & BD-1 Pop! Vinyl,Feb-24,889698435727,,6,[1-5],[6-35],$6.90,$41.40,6,36,$6.50,$39.00,,,,,https://www.eedistribution.com/images/Thumbnails/FU43572lg.jpg,Funko,Star Wars,Pop! Vinyl Figures,3,,Unisex
47,FU44599,Star Wars: Rise of Skywalker Kylo Ren Electronic Pop! Vinyl,Feb-24,889698445993,,6,[1-5],[6-35],$22.40,$134.40,[6-6],[36-41],$21.00,$126.00,7,42,$20.50,$123.00,https://www.eedistribution.com/images/Thumbnails/FU44599lg.jpg,Funko,Star Wars,Pop! Vinyl Figures,3,,Unisex
48,FU45539,Star Wars: The Mandalorian Greef Karga Pop! Vinyl Figure,Temporarily Out Of Stock,889698455398,,6,[1-5],[6-35],$6.90,$41.40,6,36,$6.50,$39.00,,,,,https://www.eedistribution.com/images/Thumbnails/FU45539lg.jpg,Funko,Star Wars,Pop! Vinyl Figures,3,,Unisex
49,FU45540,Star Wars: The Mandalorian Heavy Infantry Pop! Vinyl Figure,Feb-24,889698455404,,6,[1-5],[6-35],$6.90,$41.40,6,36,$6.50,$39.00,,,,,https://www.eedistribution.com/images/Thumbnails/FU45540lg.jpg,Funko,Star Wars,Pop! Vinyl Figures,3,,Unisex
50,FU45541,Star Wars: The Mandalorian Q9-Zero Funko Pop! Vinyl Figure,Temporarily Out Of Stock,889698455411,,6,[1-5],[6-35],$6.90,$41.40,6,36,$6.50,$39.00,,,,,https://www.eedistribution.com/images/Thumbnails/FU45541lg.jpg,Funko,Star Wars,Pop! Vinyl Figures,3,,Unisex
51,FU45542,Star Wars Mandalorian Incinerator Trooper Pop! Vinyl Figure,Feb-24,889698455428,,6,[1-5],[6-35],$6.90,$41.40,6,36,$6.50,$39.00,,,,,https://www.eedistribution.com/images/Thumbnails/FU45542lg.jpg,Funko,Star Wars,Pop! Vinyl Figures,3,,Unisex